"Reference","Value","Internal Part Number","PValue","Populated"
"BT1","1-0000863","1-0000863","CR2032","0"
"C1","1-0000019","1-0000019","4.7uF","1"
"C2","1-0000007","1-0000007","0.1uF","1"
"C3","1-0001902","1-0001902","7pF","1"
"C4","1-0001902","1-0001902","7pF","1"
"C5","1-0000007","1-0000007","0.1uF","1"
"C6","1-0000007","1-0000007","0.1uF","1"
"D1","1-0001188","1-0001188","Green","0"
"D2","1-0000599","1-0000599","Blue","1"
"D3","1-0001896","1-0001896","1N5822","0"
"D4","1-0000600","1-0000600","Red","1"
"FID1","Fiducial_1mm_2mm","0-0000000","Fiducial","0"
"FID2","Fiducial_1mm_2mm","0-0000000","Fiducial","0"
"H1","Imperial4","0-0000000","#4","0"
"H2","Imperial4","0-0000000","#4","0"
"H3","Imperial4","0-0000000","#4","0"
"H4","Imperial4","0-0000000","#4","0"
"J1","1-0001899","1-0001899","2 Pos","0"
"J2","1-0001894","1-0001894","3522","0"
"J3","1-0001894","1-0001894","3522","0"
"J4","AUX Input","0-0000000","AUX Input","0"
"J5","NP_Conn_01x03","0-0000000","NP_Conn_01x03","0"
"J6","NP_Conn_01x06","0-0000000","01x06","0"
"J7","NP_Conn_01x04","0-0000000","NP_Conn_01x04","0"
"J8","1-0000127","1-0000127","microSD","1"
"J9","Conn_01x01","","",""
"J10","1-0001899","1-0001899","2 Pos","0"
"J11","1-0001899","1-0001899","2 Pos","0"
"J12","1-0001899","1-0001899","2 Pos","0"
"J13","1-0001899","1-0001899","2 Pos","0"
"J14","1-0001899","1-0001899","2 Pos","0"
"MI1","1-0001895","1-0001895","1A","0"
"PCB1","barepcb","3-0000307","Bare PCB","1"
"Q1","1-0000163","1-0000163","BSS138","1"
"Q2","1-0000163","1-0000163","BSS138","1"
"Q3","1-0000163","1-0000163","BSS138","1"
"R1","1-0000369","1-0000369","330","1"
"R2","1-0000008","1-0000008","150","1"
"R3","1-0000010","1-0000010","10k","1"
"R4","1-0000008","1-0000008","150","1"
"R5","1-0000010","1-0000010","10k","1"
"R6","1-0000010","1-0000010","10k","1"
"R7","1-0000010","1-0000010","10k","1"
"R8","1-0000010","1-0000010","10k","1"
"R9","1-0000010","1-0000010","10k","1"
"R10","1-0000010","1-0000010","10k","1"
"R11","1-0000010","1-0000010","10k","1"
"R12","1-0000174","1-0000174","100k","1"
"R13","1-0000174","1-0000174","100k","1"
"R14","1-0001184","1-0001184","10k","1"
"R15","1-0000010","1-0000010","10k","1"
"R16","1-0000010","1-0000010","10k","1"
"R17","1-0000010","1-0000010","10k","1"
"R18","1-0000010","1-0000010","10k","1"
"SW1","1-0000681","1-0000681","Red","1"
"TH1","1-0001897","1-0001897","NTC 10K","0"
"U1","1-0001893","1-0001893","RBT10W","0"
"U2","1-0001890","1-0001890","ESP32-DevKitC","0"
"U3","1-0001892","1-0001892","MCP7940","0"
"U4","1-0001891","1-0001891","ADS1115","1"
"Y1","1-0001901","1-0001901"," 32.768kHz","1"
